Date, Open, High, Low, Close
10/28/22, 3808.26, 3905.42, 3808.26, 3901.06
10/27/22, 3834.69, 3859.95, 3803.79, 3807.30
10/26/22, 3825.97, 3886.15, 3824.07, 3830.60
10/25/22, 3799.44, 3862.85, 3799.44, 3859.11
10/24/22, 3762.01, 3810.74, 3741.65, 3797.34
10/21/22, 3657.10, 3757.89, 3647.42, 3752.75
10/20/22, 3689.05, 3736.00, 3656.44, 3665.78
10/19/22, 3703.11, 3728.58, 3666.51, 3695.16
10/18/22, 3746.26, 3762.79, 3686.53, 3719.98
10/17/22, 3677.95, 3689.73, 3677.95, 3677.95
10/14/22, 3690.41, 3712.00, 3579.68, 3583.07
10/13/22, 3520.37, 3685.41, 3491.58, 3669.91
10/12/22, 3590.83, 3608.34, 3573.86, 3577.03
10/11/22, 3595.86, 3640.66, 3568.45, 3588.84
10/10/22, 3647.51, 3652.17, 3588.10, 3612.39
10/07/22, 3706.74, 3706.74, 3620.73, 3639.66
10/06/22, 3771.97, 3797.93, 3739.22, 3744.52
10/05/22, 3753.25, 3806.91, 3722.66, 3783.28
10/04/22, 3726.46, 3791.92, 3726.46, 3790.93
10/03/22, 3609.78, 3698.35, 3604.93, 3678.43
09/30/22, 3633.48, 3671.44, 3584.13, 3585.62
09/29/22, 3687.01, 3687.01, 3610.40, 3640.47
09/28/22, 3651.94, 3736.74, 3640.61, 3719.04
09/27/22, 3686.44, 3717.53, 3623.29, 3647.29
09/26/22, 3682.72, 3715.67, 3644.76, 3655.04
09/23/22, 3727.14, 3727.14, 3647.47, 3693.23
09/22/22, 3782.36, 3790.90, 3749.45, 3757.99
09/21/22, 3871.40, 3907.07, 3789.49, 3789.93
09/20/22, 3875.23, 3876.01, 3827.54, 3855.93
09/19/22, 3849.91, 3900.45, 3838.50, 3899.89
09/16/22, 3880.95, 3880.95, 3837.08, 3873.33
09/15/22, 3932.41, 3959.14, 3888.28, 3901.35
09/14/22, 3940.73, 3961.94, 3912.18, 3946.01
09/13/22, 4037.12, 4037.12, 3921.28, 3932.69
09/12/22, 4083.67, 4119.28, 4083.67, 4110.41
09/09/22, 4022.94, 4076.81, 4022.94, 4067.36
09/08/22, 3959.94, 4010.50, 3944.81, 4006.18
09/07/22, 3909.43, 3987.89, 3906.03, 3979.87
09/06/22, 3930.89, 3942.55, 3886.75, 3908.19
09/02/22, 3996.39, 4018.43, 3906.21, 3924.26
09/01/22, 3936.73, 3970.23, 3903.65, 3966.85
08/31/22, 4000.67, 4015.37, 3954.53, 3955.00
08/30/22, 4041.25, 4044.98, 3965.21, 3986.16
08/29/22, 4034.58, 4062.99, 4017.42, 4030.61
08/26/22, 4198.74, 4203.04, 4057.66, 4057.66
08/25/22, 4153.26, 4200.54, 4147.59, 4199.12
08/24/22, 4126.55, 4156.56, 4119.97, 4140.77
08/23/22, 4133.09, 4159.77, 4124.03, 4128.73
08/22/22, 4195.08, 4195.08, 4129.86, 4137.99
08/19/22, 4266.31, 4266.31, 4218.70, 4228.48
08/18/22, 4273.13, 4292.53, 4261.98, 4283.74
08/17/22, 4280.40, 4302.18, 4253.08, 4274.04
08/16/22, 4290.46, 4325.28, 4277.77, 4305.20
08/15/22, 4269.37, 4301.79, 4256.90, 4297.14
08/12/22, 4225.02, 4280.47, 4219.78, 4280.15
08/11/22, 4227.40, 4257.91, 4201.41, 4207.27
08/10/22, 4181.02, 4211.03, 4177.26, 4210.24
08/09/22, 4133.11, 4137.30, 4112.09, 4122.47
08/08/22, 4155.93, 4186.62, 4128.97, 4140.06
08/05/22, 4115.87, 4151.58, 4107.31, 4145.19
08/04/22, 4154.85, 4161.29, 4135.42, 4151.94
08/03/22, 4107.96, 4167.66, 4107.96, 4155.17
08/02/22, 4104.21, 4140.47, 4079.81, 4091.19
08/01/22, 4112.38, 4144.95, 4096.02, 4118.63
07/29/22, 4087.33, 4140.15, 4079.22, 4130.29
07/28/22, 4026.13, 4078.95, 3992.97, 4072.43
07/27/22, 3951.43, 4039.56, 3951.43, 4023.61
07/26/22, 3953.22, 3953.22, 3910.74, 3921.05
07/25/22, 3965.72, 3975.30, 3943.46, 3966.84
07/22/22, 3998.43, 4012.44, 3938.86, 3961.63
07/21/22, 3955.47, 3999.29, 3927.64, 3998.95
07/20/22, 3935.32, 3974.13, 3922.03, 3959.90
07/19/22, 3860.73, 3939.81, 3860.73, 3936.69
07/18/22, 3883.79, 3902.44, 3818.63, 3830.85
07/15/22, 3818.00, 3863.62, 3817.18, 3863.16
07/14/22, 3763.99, 3796.41, 3721.56, 3790.38
07/13/22, 3779.67, 3829.44, 3759.07, 3801.78
07/12/22, 3851.95, 3873.41, 3802.36, 3818.80
07/11/22, 3880.94, 3880.94, 3847.22, 3854.43
07/08/22, 3888.26, 3918.50, 3869.34, 3899.38
07/07/22, 3858.85, 3910.63, 3858.85, 3902.62
07/06/22, 3831.98, 3870.91, 3809.37, 3845.08
07/05/22, 3792.61, 3832.19, 3742.06, 3831.39
07/01/22, 3781.08, 3829.82, 3752.10, 3825.33
06/30/22, 3785.99, 3818.99, 3738.67, 3785.38
06/29/22, 3825.09, 3836.50, 3799.02, 3818.83
06/28/22, 3913.00, 3945.86, 3820.14, 3821.55
06/27/22, 3920.76, 3927.72, 3889.66, 3900.11
06/24/22, 3821.75, 3913.65, 3821.75, 3911.74
06/23/22, 3774.71, 3802.58, 3743.52, 3795.73
06/22/22, 3733.89, 3801.79, 3717.69, 3759.89
06/21/22, 3715.31, 3779.65, 3715.31, 3764.79
06/17/22, 3665.90, 3707.71, 3636.87, 3674.84
